circuit_type,design,platform,status,critical_path_ns,die_area,total_power_mw,config_hash,param_hash,tag,result_path,params_json,metrics_path,design_path
multipliers,mult16s_normal_brentkung_wrapper,sky130hd,ok,9.8977,17702.3025,0.00525,4c7b95ac984e,ee6c4432,mult_ppg_cpa_w4_32_sky130hd_highutil_8c56d3b0," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper
multipliers,mult16s_normal_koggestone_wrapper,asap7,ok,0.6474225,266.766889,0.274,80c8d17cc039,a3bdd812,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper
multipliers,mult16s_normal_koggestone_wrapper,asap7,ok,0.6441545,1377.1521,0.296,80c8d17cc039,b727aa3a,mult_ppg_cpa_w4_32_asap7_3b70c61f," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper
multipliers,mult16s_normal_koggestone_wrapper,asap7,ok,0.6450933999999999,313.325401,0.28,80c8d17cc039,c7de4936,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper
multipliers,mult16s_normal_koggestone_wrapper,nangate45,ok,0.2199,20282.032225,0.00431,80c8d17cc039,231d5c19,mult_ppg_cpa_w4_32_nangate45_40523b9d," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper
multipliers,mult16s_normal_koggestone_wrapper,nangate45,ok,0.198,4198.392025,0.00417,80c8d17cc039,39ca4667,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper
multipliers,mult16s_normal_koggestone_wrapper,nangate45,ok,0.1954,3519.455625,0.00417,80c8d17cc039,84032167,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35," ""CORE_UTILIZATION"": 60",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper
multipliers,mult16s_normal_koggestone_wrapper,sky130hd,ok,5.9921,23309.655625,0.00698,80c8d17cc039,4c404a8c,mult_ppg_cpa_w4_32_sky130hd_highutil_8de86181," ""CORE_UTILIZATION"": 40",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper
multipliers,mult16s_normal_koggestone_wrapper,sky130hd,ok,5.9938,92021.2225,0.0074,80c8d17cc039,b1b86ede,mult_ppg_cpa_w4_32_sky130_70e18859," ""CORE_UTILIZATION"": 10",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper
multipliers,mult16s_normal_koggestone_wrapper,sky130hd,ok,5.9735,18706.0329,0.00714,80c8d17cc039,ee6c4432,mult_ppg_cpa_w4_32_sky130hd_highutil_8c56d3b0," ""CORE_UTILIZATION"": 50",{},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/metrics.csv,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper
