design,platform,critical_path_ns,core_util,place_density,clock_period,die_area,total_power_mw,result_path,tag
mult8s_booth4_brentkung_wrapper,asap7,0.615815,50.0,0.68,1.0,115.1329,0.123," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult8s_booth4_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_booth4_koggestone_wrapper,asap7,0.4765508,50.0,0.68,1.0,130.051216,0.112," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult8s_booth4_koggestone_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_booth4_ripple_wrapper,asap7,0.6168932,50.0,0.68,1.0,111.830625,0.1," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult8s_booth4_ripple_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_booth4_sklansky_wrapper,asap7,0.4667689,50.0,0.68,1.0,121.925764,0.121," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult8s_booth4_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_normal_brentkung_wrapper,asap7,0.6112664,50.0,0.68,1.0,100.140049,0.111," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult8s_normal_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_normal_koggestone_wrapper,asap7,0.4947813,50.0,0.68,1.0,113.316025,0.112," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult8s_normal_koggestone_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8s_normal_ripple_wrapper,asap7,0.6076206,60.0,0.68,1.0,88.7364,0.118," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult8s_normal_ripple_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8s_normal_sklansky_wrapper,asap7,0.4851742,60.0,0.68,1.0,93.161104,0.0983," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult8s_normal_sklansky_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8u_booth4_brentkung_wrapper,asap7,0.7230787000000001,50.0,0.68,1.0,119.639844,0.13," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult8u_booth4_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8u_booth4_koggestone_wrapper,asap7,0.5313857000000001,50.0,0.68,1.0,126.765081,0.113," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult8u_booth4_koggestone_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8u_booth4_ripple_wrapper,asap7,0.6891868,50.0,0.68,1.0,113.806224,0.105," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult8u_booth4_ripple_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8u_booth4_sklansky_wrapper,asap7,0.5154572,50.0,0.68,1.0,125.798656,0.109," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult8u_booth4_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8u_normal_brentkung_wrapper,asap7,0.595315,60.0,0.68,1.0,87.216921,0.109," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult8u_normal_brentkung_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8u_normal_koggestone_wrapper,asap7,0.49343380000000003,50.0,0.68,1.0,109.851361,0.0997," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult8u_normal_koggestone_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8u_normal_ripple_wrapper,asap7,0.5916427999999999,50.0,0.68,1.0,104.898564,0.118," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult8u_normal_ripple_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult8u_normal_sklansky_wrapper,asap7,0.4743977,60.0,0.68,1.0,93.993025,0.102," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult8u_normal_sklansky_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_booth4_brentkung_wrapper,nangate45,0.1963,60.0,0.68,2.5,3071.3764,0.00211," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_nangate45_highutil_da64be35""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/work/84032167/result.json",mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
