design,platform,critical_path_ns,core_util,place_density,clock_period,die_area,total_power_mw,result_path,tag
mult32s_booth4_brentkung_wrapper,nangate45,3.6068,50.0,0.68,2.5,12459.0244,0.0157,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_brentkung_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult32s_booth4_koggestone_wrapper,nangate45,0.2307,60.0,0.68,2.5,10972.5625,0.0263,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32s_booth4_ripple_wrapper,nangate45,4.8031,50.0,0.68,2.5,12918.5956,0.0131,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_ripple_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult32s_booth4_sklansky_wrapper,nangate45,0.2295,60.0,0.68,2.5,10589.439025,0.0198,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_booth4_sklansky_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32s_normal_brentkung_wrapper,nangate45,3.6977,50.0,0.68,2.5,13637.5684,0.0185,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_brentkung_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult32s_normal_koggestone_wrapper,nangate45,0.2309,60.0,0.68,2.5,12127.515625,0.0321,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32s_normal_ripple_wrapper,nangate45,4.9079,10.0,0.55,2.5,70915.69,0.016,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_ripple_wrapper/work/231d5c19/result.json,mult_ppg_cpa_w4_32_nangate45_40523b9d
mult32s_normal_sklansky_wrapper,nangate45,0.2436,60.0,0.68,2.5,11692.0969,0.0241,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32s_normal_sklansky_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32u_booth4_brentkung_wrapper,nangate45,3.7335,60.0,0.68,2.5,10909.8025,0.0171,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_booth4_brentkung_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32u_booth4_koggestone_wrapper,nangate45,0.239,60.0,0.68,2.5,11437.233025,0.028,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_booth4_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32u_booth4_ripple_wrapper,nangate45,4.8779,50.0,0.68,2.5,13061.061225,0.014,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_booth4_ripple_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult32u_booth4_sklansky_wrapper,nangate45,0.2358,50.0,0.68,2.5,13126.2849,0.0214,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_booth4_sklansky_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult32u_normal_brentkung_wrapper,nangate45,3.7109,50.0,0.68,2.5,13642.24,0.0187,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_normal_brentkung_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult32u_normal_koggestone_wrapper,nangate45,0.2407,60.0,0.68,2.5,11997.916225,0.0302,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_normal_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32u_normal_ripple_wrapper,nangate45,4.9368,50.0,0.68,2.5,14075.4496,0.0151,/workspaces/RTLGen/runs/multipliers/ppg_cpa_widths_4_32/mult32u_normal_ripple_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
